# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

America/Argentina/Salta;-03/-02;-10800;Arg;1;1991;3;3;-1;0;0
America/Argentina/Salta;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/Salta;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/Salta;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/Salta;LMT;-15700;0;1;1894;10;31;-1;0;0
America/Argentina/San_Juan;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/San_Juan;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Argentina/San_Juan;-04;-14400;0;1;2004;7;25;-1;0;0
America/Argentina/San_Juan;-03;-10800;0;1;2004;5;31;-1;0;0
America/Argentina/San_Juan;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/San_Juan;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/San_Juan;-04;-14400;0;1;1991;5;7;-1;0;0
America/Argentina/San_Juan;-03/-02;-10800;Arg;1;1991;3;1;-1;0;0
America/Argentina/San_Juan;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/San_Juan;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/San_Juan;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/San_Juan;LMT;-16444;0;1;1894;10;31;-1;0;0
America/Argentina/San_Luis;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/San_Luis;-04/-03;-14400;SanLuis;1;2009;10;11;-1;0;0
America/Argentina/San_Luis;-03/-02;-10800;Arg;1;2008;1;21;-1;0;0
America/Argentina/San_Luis;-04;-14400;0;1;2004;7;25;-1;0;0
America/Argentina/San_Luis;-03;-10800;0;1;2004;5;31;-1;0;0
America/Argentina/San_Luis;-03;-14400;3600;1;2000;3;3;-1;0;0
America/Argentina/San_Luis;-03;-10800;0;1;1999;10;3;-1;0;0
America/Argentina/San_Luis;-04;-14400;0;1;1991;6;1;-1;0;0
America/Argentina/San_Luis;-03;-14400;3600;1;1991;3;1;-1;0;0
America/Argentina/San_Luis;-04;-14400;0;1;1990;10;15;-1;0;0
America/Argentina/San_Luis;-02;-10800;3600;1;1990;3;14;-1;0;0
America/Argentina/San_Luis;-03/-02;-10800;Arg;1;1990;1;1;-1;0;0
America/Argentina/San_Luis;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/San_Luis;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/San_Luis;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/San_Luis;LMT;-15924;0;1;1894;10;31;-1;0;0
America/Argentina/Tucuman;-03/-02;-10800;Arg;1;3999;1;1;-1;0;0
America/Argentina/Tucuman;-04;-14400;0;1;2004;6;13;-1;0;0
America/Argentina/Tucuman;-03;-10800;0;1;2004;6;1;-1;0;0
America/Argentina/Tucuman;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/Tucuman;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/Tucuman;-04;-14400;0;1;1991;10;20;-1;0;0
America/Argentina/Tucuman;-03/-02;-10800;Arg;1;1991;3;3;-1;0;0
America/Argentina/Tucuman;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/Tucuman;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/Tucuman;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/Tucuman;LMT;-15652;0;1;1894;10;31;-1;0;0
America/Argentina/Ushuaia;-03;-10800;0;1;3999;1;1;-1;0;0
America/Argentina/Ushuaia;-03/-02;-10800;Arg;1;2008;10;18;-1;0;0
America/Argentina/Ushuaia;-04;-14400;0;1;2004;6;20;-1;0;0
America/Argentina/Ushuaia;-03;-10800;0;1;2004;5;30;-1;0;0
America/Argentina/Ushuaia;-04/-03;-14400;Arg;1;2000;3;3;-1;0;0
America/Argentina/Ushuaia;-03/-02;-10800;Arg;1;1999;10;3;-1;0;0
America/Argentina/Ushuaia;-04/-03;-14400;Arg;1;1969;10;5;-1;0;0
America/Argentina/Ushuaia;-04;-14400;0;1;1930;12;1;-1;0;0
America/Argentina/Ushuaia;CMT;-15408;0;1;1920;5;1;-1;0;0
America/Argentina/Ushuaia;LMT;-16392;0;1;1894;10;31;-1;0;0
America/Aruba;AST;-14400;0;1;3999;1;1;-1;0;0
America/Aruba;-0430;-16200;0;1;1965;1;1;-1;0;0
America/Aruba;LMT;-16547;0;1;1912;2;12;-1;0;0
America/Asuncion;-04/-03;-14400;Para;1;3999;1;1;-1;0;0
America/Asuncion;-03;-10800;0;1;1974;4;1;-1;0;0
America/Asuncion;-04;-14400;0;1;1972;10;1;-1;0;0
America/Asuncion;AMT;-13840;0;1;1931;10;10;-1;0;0
America/Asuncion;LMT;-13840;0;1;1890;1;1;-1;0;0
America/Bahia;-03;-10800;0;1;3999;1;1;-1;0;0
America/Bahia;-03/-02;-10800;Brazil;1;2012;10;21;-1;0;0
America/Bahia;-03;-10800;0;1;2011;10;16;-1;0;0
America/Bahia;-03/-02;-10800;Brazil;1;2003;9;24;-1;0;0
America/Bahia;LMT;-9244;0;1;1914;1;1;-1;0;0
America/Bahia_Banderas;C%sT;-21600;Mexico;1;3999;1;1;-1;0;0
America/Bahia_Banderas;M%sT;-25200;Mexico;1;2010;4;4;-1;7200;0
America/Bahia_Banderas;PST;-28800;0;1;1970;1;1;-1;0;0
America/Bahia_Banderas;MST;-25200;0;1;1949;1;14;-1;0;0
America/Bahia_Banderas;CST;-21600;0;1;1942;4;24;-1;0;0
America/Bahia_Banderas;MST;-25200;0;1;1932;4;1;-1;0;0
America/Bahia_Banderas;CST;-21600;0;1;1931;10;1;-1;0;0
America/Bahia_Banderas;MST;-25200;0;1;1931;5;1;-1;82800;0
America/Bahia_Banderas;CST;-21600;0;1;1930;11;15;-1;0;0
America/Bahia_Banderas;MST;-25200;0;1;1927;6;10;-1;82800;0
America/Bahia_Banderas;LMT;-25260;0;1;1921;12;31;-1;86340;0
America/Barbados;A%sT;-14400;Barb;1;3999;1;1;-1;0;0
America/Barbados;BMT;-14309;0;1;1932;1;1;-1;0;0
America/Barbados;LMT;-14309;0;1;1924;1;1;-1;0;0
